probe	HUGO.gene.symbol
AA017147_RC	AA017147_RC	NA
AA024493_RC	AA024493_RC	NA
AA043429_RC	AA043429_RC	C17orf27
AA470152_RC	AA470152_RC	NA
AA485939_RC	AA485939_RC	NA
AA490225_RC	AA490225_RC	NA
AA523900_RC	AA523900_RC	NA
AA553619_RC	AA553619_RC	NA
AA555029_RC	AA555029_RC	NA
AA598803_RC	AA598803_RC	NA
AA600139_RC	AA600139_RC	NA
AA608991_RC	AA608991_RC	NA
AA644150_RC	AA644150_RC	NA
AA669593_RC	AA669593_RC	NA
AA676713_RC	AA676713_RC	NA
AA706751_RC	AA706751_RC	NA
AA708112_RC	AA708112_RC	NA
AA766897_RC	AA766897_RC	NA
AA782020_RC	AA782020_RC	NA
AA813202_RC	AA813202_RC	NA
AA825972_RC	AA825972_RC	NA
AA853946_RC	AA853946_RC	NA
AA868506_RC	AA868506_RC	NA
AA926862_RC	AA926862_RC	NA
AA993127_RC	AA993127_RC	NA
AB000509	AB000509	TRAF5
AB001451	AB001451	NA
AB002293	AB002293	ZNF609
AB002296	AB002296	NA
AB002297	AB002297	DOCK3
AB002298	AB002298	PDZD2
AB002299	AB002299	NA
AB002301	AB002301	NA
AB002304	AB002304	CIC
AB002306	AB002306	CHD9
AB002308	AB002308	NA
AB002313	AB002313	NA
AB002314	AB002314	NA
AB002316	AB002316	RIMBP2
AB002318	AB002318	NA
AB002319	AB002319	ZFYVE26
AB002320	AB002320	HECW1
AB002321	AB002321	KIAA0323
AB002323	AB002323	DYNC1H1
AB002324	AB002324	NA
AB002326	AB002326	NA
AB002330	AB002330	NA
AB002331	AB002331	DIDO1
AB002336	AB002336	EPB41L1
AB002337	AB002337	SETD1A
AB002338	AB002338	NA
AB002339	AB002339	NA
AB002340	AB002340	NA
AB002344	AB002344	NA
AB002347	AB002347	NA
AB002348	AB002348	KIAA0350
AB002351	AB002351	DMN
AB002354	AB002354	PLEKHM1
AB002359	AB002359	PFAS
AB002360	AB002360	NA
AB002361	AB002361	NA
AB002363	AB002363	SFRS14
AB002364	AB002364	ADAMTS3
AB002365	AB002365	KIAA0367
AB002366	AB002366	NA
AB002368	AB002368	XPO6
AB002369	AB002369	MTMR3
AB002373	AB002373	RUSC2
AB002374	AB002374	SPECC1L
AB002376	AB002376	ERC2
AB002377	AB002377	ANKRD28
AB002379	AB002379	DAAM2
AB002438	AB002438	NA
AB002445	AB002445	DCP2
AB002448	AB002448	NA
AB002449	AB002449	NA
AB004064	AB004064	TMEFF2
AB004857	AB004857	SLC11A2
AB005216	AB005216	SOCS7
AB006198	AB006198	SART1
AB006423	AB006423	SERPINI2
AB006589	AB006589	ESR2
AB006622	AB006622	KIAA0284
AB006624	AB006624	NA
AB006625	AB006625	NA
AB006627	AB006627	ASTN1
AB006628	AB006628	FCHO1
AB006630	AB006630	TCF20
AB006631	AB006631	CUTL2
AB006713	AB006713	DPYSL4
AB006746	AB006746	PLSCR1
AB007458	AB007458	NA
AB007855	AB007855	ZHX3
AB007857	AB007857	RUTBC1
AB007859	AB007859	ZZEF1
AB007861	AB007861	NA
AB007863	AB007863	NA
AB007864	AB007864	NA
AB007866	AB007866	KIAA0406
AB007867	AB007867	PLXNB1
AB007869	AB007869	NA
AB007871	AB007871	SRGAP3
AB007877	AB007877	NA
AB007880	AB007880	NA
AB007881	AB007881	NA
AB007883	AB007883	KIAA0423
AB007888	AB007888	MBNL1
AB007890	AB007890	KIAA0430
AB007892	AB007892	NA
AB007896	AB007896	PREPL
AB007899	AB007899	NEDD4L
AB007902	AB007902	AUTS2
AB007913	AB007913	CHD5
AB007915	AB007915	SLC25A44
AB007916	AB007916	NA
AB007921	AB007921	NA
AB007922	AB007922	VPS13D
AB007923	AB007923	PDE4DIP
AB007924	AB007924	NA
AB007925	AB007925	SRGAP2
AB007928	AB007928	NA
AB007929	AB007929	KIAA0460
AB007930	AB007930	POGZ
AB007931	AB007931	ZUBR1
AB007932	AB007932	PLXNA2
AB007933	AB007933	NOS1AP
AB007936	AB007936	KIAA0467
AB007941	AB007941	RIPK5
AB007946	AB007946	PDE4DIP
AB007948	AB007948	NMNAT2
AB007950	AB007950	TMCC2
AB007953	AB007953	NA
AB007954	AB007954	NA
AB007956	AB007956	NA
AB007957	AB007957	NA
AB007958	AB007958	NA
AB007961	AB007961	NA
AB007962	AB007962	FAM91A1
AB007964	AB007964	NA
AB007965	AB007965	NA
AB007969	AB007969	NA
AB007970	AB007970	NA
AB007972	AB007972	PPP1R12B
AB007975	AB007975	NA
AB007976	AB007976	NA
AB007977	AB007977	NA
AB007978	AB007978	NA
AB009282	AB009282	CYB5B
AB011087	AB011087	NA
AB011089	AB011089	TRIM2
AB011090	AB011090	NA
AB011093	AB011093	ARHGEF18
AB011094	AB011094	IQSEC2
AB011095	AB011095	NA
AB011099	AB011099	NA
AB011100	AB011100	KIAA0528
AB011102	AB011102	NA
AB011104	AB011104	VPS13B
AB011105	AB011105	LAMA5
AB011106	AB011106	ATRNL1
AB011112	AB011112	NA
AB011113	AB011113	WDR7
AB011114	AB011114	SFI1
AB011115	AB011115	NA
AB011116	AB011116	MGRN1
AB011117	AB011117	SIPA1L3
AB011118	AB011118	CCDC131
AB011121	AB011121	TRAK2
AB011123	AB011123	NA
AB011125	AB011125	GPATCH8
AB011128	AB011128	KIAA0556
AB011129	AB011129	NA
AB011131	AB011131	NA
AB011132	AB011132	NA
AB011133	AB011133	NA
AB011136	AB011136	NA
AB011137	AB011137	NA
AB011138	AB011138	ATP10A
AB011139	AB011139	OPA1
AB011145	AB011145	TXNDC4
AB011146	AB011146	NA
AB011148	AB011148	ZNF451
AB011151	AB011151	ZCCHC14
AB011152	AB011152	CENTD1
AB011153	AB011153	PLCB1
AB011154	AB011154	NA
AB011156	AB011156	GLT25D2
AB011157	AB011157	NA
AB011161	AB011161	PIP5K1C
AB011163	AB011163	KIF1B
AB011164	AB011164	NA
AB011166	AB011166	NA
AB011167	AB011167	PPRC1
AB011168	AB011168	MAPKBP1
AB011171	AB011171	NA
AB011173	AB011173	AOF2
AB011174	AB011174	NA
AB011178	AB011178	PHLPP
AB011179	AB011179	NCDN
AB011180	AB011180	NA
AB011182	AB011182	SPG20
AB011538	AB011538	NA
AB011539	AB011539	MEGF6
AB011540	AB011540	LRP4
AB011542	AB011542	NA
AB012692	AB012692	TMEM54
AB013452	AB013452	ATP8A1
AB013897	AB013897	HKR1
AB014511	AB014511	ATP9A
AB014512	AB014512	BZRAP1
AB014513	AB014513	LDB3
AB014514	AB014514	NA
AB014516	AB014516	NA
AB014520	AB014520	PLXND1
AB014522	AB014522	CLASP1
AB014524	AB014524	EXPH5
AB014526	AB014526	NA
AB014527	AB014527	CLASP2
AB014530	AB014530	HIPK1
AB014531	AB014531	NA
AB014532	AB014532	NA
AB014533	AB014533	COBL
AB014534	AB014534	ASTN2
AB014538	AB014538	PHLDB1
AB014540	AB014540	NA
AB014542	AB014542	TNRC15
AB014543	AB014543	CLUAP1
AB014547	AB014547	MTMR4
AB014548	AB014548	NA
AB014550	AB014550	NA
AB014553	AB014553	ICOSLG
AB014554	AB014554	PPFIA3
AB014555	AB014555	HIP1R
AB014557	AB014557	NA
AB014558	AB014558	CRY2
AB014559	AB014559	C11orf11
AB014564	AB014564	KIAA0664
AB014566	AB014566	DAAM1
AB014567	AB014567	NA
AB014568	AB014568	UNC84B
AB014573	AB014573	NPHP4
AB014574	AB014574	NA
AB014576	AB014576	TBC1D9B
AB014578	AB014578	DNAJC13
AB014579	AB014579	MGEA5
AB014581	AB014581	NA
AB014586	AB014586	NA
AB014589	AB014589	CSTF2T
AB014590	AB014590	RRP12
AB014592	AB014592	NA
AB014593	AB014593	SS18L1
AB014594	AB014594	NA
AB014595	AB014595	CUL4B
AB014596	AB014596	FBXW11
AB014597	AB014597	ANKRD17
AB014599	AB014599	BICD2
AB014600	AB014600	SIN3B
AB014601	AB014601	NA
AB014604	AB014604	OSBPL3
AB014606	AB014606	NA
AB014607	AB014607	NA
AB014608	AB014608	NA
AB015330	AB015330	ZMIZ2
AB015343	AB015343	TRIOBP
AB015345	AB015345	TSPYL2
AB015349	AB015349	NA
AB015434	AB015434	NA
AB016247	AB016247	SC5DL
AB018256	AB018256	SNX13
AB018257	AB018257	ZNF294
AB018258	AB018258	NA
AB018260	AB018260	RHOBTB2
AB018261	AB018261	DGKB
AB018268	AB018268	NA
AB018270	AB018270	MYO1D
AB018271	AB018271	DST
AB018272	AB018272	USP34
AB018274	AB018274	LARP1
AB018283	AB018283	RHOBTB1
AB018285	AB018285	JMJD1A
AB018288	AB018288	NA
AB018289	AB018289	NA
AB018290	AB018290	FAM62A
AB018292	AB018292	DDN
AB018295	AB018295	NA
AB018297	AB018297	NA
AB018299	AB018299	NA
AB018301	AB018301	GPR116
AB018303	AB018303	ZNF423
AB018304	AB018304	CLCC1
AB018305	AB018305	SPON1
AB018308	AB018308	RBM12
AB018310	AB018310	NA
AB018311	AB018311	LPHN3
AB018313	AB018313	VPS39
AB018314	AB018314	PPP1R13B
AB018317	AB018317	KIAA0774
AB018319	AB018319	KIAA0776
AB018322	AB018322	TMCC1
AB018323	AB018323	NA
AB018324	AB018324	NA
AB018325	AB018325	CENTD2
AB018327	AB018327	ADNP
AB018331	AB018331	ASCC3L1
AB018333	AB018333	SASH1
AB018337	AB018337	NA
AB018338	AB018338	KLHL18
AB018339	AB018339	SYNE1
AB018345	AB018345	NA
AB018347	AB018347	VPS8
AB018348	AB018348	PCNX
AB018350	AB018350	MAST2
AB018352	AB018352	RAD54L2
AB018353	AB018353	UNC84A
AB019409	AB019409	ANAPC5
AB019571	AB019571	NA
AB020626	AB020626	NA
AB020627	AB020627	DNM3
AB020630	AB020630	PPP1R16B
AB020632	AB020632	NA
AB020633	AB020633	NA
AB020635	AB020635	NA
AB020636	AB020636	NA
AB020637	AB020637	NA
AB020640	AB020640	CAMTA1
AB020643	AB020643	GLCE
AB020644	AB020644	NA
AB020648	AB020648	NA
AB020649	AB020649	NA
AB020654	AB020654	TTBK2
AB020660	AB020660	NA
AB020663	AB020663	DMXL2
AB020668	AB020668	MCF2L2
AB020671	AB020671	NA
AB020672	AB020672	NA
AB020673	AB020673	MYH11
AB020676	AB020676	WWC1
AB020677	AB020677	DENND3
AB020681	AB020681	ANKRD12
AB020682	AB020682	FBXO21
AB020684	AB020684	NA
AB020689	AB020689	TBC1D9
